-0.026728	0.037716	-0.046358	0.024753	0.034383	-0.023765
0.073039	0.067745	-0.098725	0.018922	-0.04049	-0.02049
0.005833	0.005833	-0.159167	-0.074167	0.175833	0.045833
0.141111	0.171111	-0.105556	-0.132222	-0.162222	0.087778
0.2175	0.0475	0.0075	-0.0375	-0.1575	-0.0775
0.020405	0.052568	-0.097838	-0.017838	0.039324	0.003378
0.066667	-0.093333	-0.013333	-0.263333	0.236667	0.066667
0.166667	0.086667	-0.253333	-0.083333	-0.083333	0.166667
-0.085	0.085	0.005	0.165	-0.085	-0.085
0.066042	0.050417	-0.090833	0.002917	-0.001458	-0.027083
0.082778	-0.083889	-0.163889	-0.220556	-0.250556	0.636111
-0.440833	0.184167	0.141667	-0.503333	0.269167	0.349167
0.087179	0.024103	-0.008974	-0.125128	-0.065128	0.087949
0.092727	0.008182	-0.143636	-0.073636	0.024545	0.091818
0.057433	-0.018212	-0.086035	-0.034583	-0.003535	0.084933
0.104583	-0.065417	-0.145417	0.019583	0.022083	0.064583
0.196667	0.026667	-0.473333	0.026667	0.196667	0.026667
-0.011806	-0.033472	-0.081806	0.042361	-0.026806	0.111528
-0.221667	-0.051667	-0.141667	0.108333	0.108333	0.198333
-0.045	-0.125	0.045	0.125	0.045	-0.045
0.120926	-0.120185	-0.06463	0.027593	0.027593	0.008704
0.100351	-0.035439	-0.04386	-0.00807	-0.04386	0.030877
0.19125	0.08625	0.02375	-0.05875	-0.18625	-0.05625
0.1575	-0.0475	-0.0075	-0.1725	-0.1325	0.2025
0.084583	-0.020417	-0.067917	-0.032917	-0.03375	0.070417
-0.193333	-0.023333	-0.113333	0.056667	0.136667	0.136667
0.037424	-0.022576	-0.114394	-0.06803	0.037424	0.130152
0.1475	0.0625	-0.2275	-0.2325	0.1425	0.1075
-0.032222	0.051111	-0.032222	0.077778	-0.145556	0.081111
-0.11	0.053333	0.223333	0.303333	-0.386667	-0.083333
0.03125	0.11375	-0.05125	0.05125	-0.05125	-0.09375
-0.190556	0.199444	-0.080556	0.142778	-0.160556	0.089444
-0.149167	-0.024167	-0.024167	0.163333	-0.004167	0.038333
-0.071364	0.085909	-0.018636	0.027727	-0.043182	0.019545
-0.096806	0.062361	-0.070139	0.104028	0.020694	-0.020139
-0.18	-0.18	-0.18	-0.1	0.07	0.57
0.08125	-0.025	-0.1075	0.11	-0.06625	0.0075
-0.101667	0.035	-0.101667	0.205	-0.045	0.008333
0.09402	0.06402	-0.142451	0.112255	-0.02951	-0.098333
0.076667	0.018095	-0.12619	0.172381	-0.087619	-0.053333
0.074167	0.034167	-0.215833	0.119167	-0.090833	0.079167
